,userId,time,countryCode,guest,LAST(wallet_payouts.price),MAX(tv_rewards.amount),MIN(tv_rewards.amount),AVG_TIME_BETWEEN(web_requests.timestamp),MIN(wallet_payouts.price),MEAN(wallet_payouts.price),COUNT(tv_rewards),"UNIQUE_COUNT(web_requests.sessionId, timestamp)",COUNT(web_requests),"LIFESPAN(web_requests.url, timestamp)",LAST(web_requests.sessionId),MAX(wallet_payouts.price),"LIFESPAN(web_requests.sessionId, timestamp)",AVG_TIME_BETWEEN(wallet_payouts.timestamp),LAST(web_requests.url),"UNIQUE_COUNT(web_requests.url, timestamp)",AVG_TIME_BETWEEN(tv_rewards.timestamp),SUM(tv_rewards.amount),COUNT(wallet_payouts),SUM(wallet_payouts.price),MEAN(tv_rewards.amount),LAST(tv_rewards.amount),label
20,64525957,2018-12-07 14:16:30.227,IN,False,1.0,20.0,20.0,711.8843166666667,1.0,1.0,18.0,3.0,61.0,711.8843166666667,FD00E7182F73C4CA8B42F8204A2A1D88,1.0,711.8843166666667,,https://air-rewards.com/dashboard/intro,11.0,50.88288235294118,360.0,1.0,1.0,20.0,20.0,0.0
21,64546186,2018-12-08 00:24:32.939,IN,False,,,,7.999600000000001,,,0.0,1.0,21.0,2.666533333333333,E0C0ECEE24CA2BE9F37FC57989EFE0F6,,2.666533333333333,,https://air-rewards.com/dashboard/shop,8.0,,0.0,0.0,0.0,,,1.0
22,64551666,2018-12-08 00:46:15.705,IN,False,,,,10.37,,,0.0,1.0,17.0,2.765333333333333,C01FAABBCF9E80407142FFB4A663B9ED,,2.765333333333333,,https://air-rewards.com/dashboard/user/profile,9.0,,0.0,0.0,0.0,,,1.0
23,64556655,2018-12-08 00:59:41.529,IN,False,,20.0,20.0,25.757704545454544,,,4.0,1.0,45.0,18.88898333333333,F1A94A78CBB8562BC8B59C1CEE54C456,,18.88898333333333,,https://air-rewards.com/dashboard/artv/upload,12.0,163.67266666666666,80.0,0.0,0.0,20.0,20.0,1.0
24,64558385,2018-12-08 01:03:44.711,IN,False,,,,934.3092571428572,,,0.0,3.0,36.0,545.0137333333333,7C003F9703F0D951B87556B7BE5D3857,,545.0137333333333,,https://air-rewards.com/dashboard/artv/upload,15.0,,0.0,0.0,0.0,,,1.0
25,64570876,2018-12-08 01:34:51.452,IN,False,,,,12.13765625,,,0.0,1.0,33.0,6.473416666666666,4AB69D60F22DE95ACE5E3FF44E18AA0D,,6.473416666666666,,https://air-rewards.com/dashboard/spinner/spin,11.0,,0.0,0.0,0.0,,,1.0
26,64579947,2018-12-08 01:56:31.899,IN,False,,20.0,20.0,78.32967272727272,,,9.0,4.0,56.0,71.8022,0CC004C18F7969EDD3923B2662FDE235,,71.8022,,https://www.air-rewards.com/dashboard/intro,20.0,156.724375,180.0,0.0,0.0,20.0,20.0,1.0
27,64581215,2018-12-08 02:01:12.501,IN,False,,,,5.521333333333334,,,0.0,1.0,13.0,1.1042666666666667,831944ACABE1BEFB2616F214485C557B,,1.1042666666666667,,https://air-rewards.com/dashboard/spinner/spin,7.0,,0.0,0.0,0.0,,,1.0
28,64589219,2018-12-08 02:19:43.959,IN,False,,,,14.3638,,,0.0,1.0,11.0,2.3939666666666666,55D2599A465CFDCE389A0D3AEB560832,,2.3939666666666666,,https://air-rewards.com/dashboard/wallet,8.0,,0.0,0.0,0.0,,,1.0
29,64592824,2018-12-08 02:31:13.316,IN,False,,20.0,20.0,347.91880898876406,,,14.0,3.0,90.0,516.0795666666667,8831DF63C2BB887A329BDAF6FE4DAE56,,516.0795666666667,,https://air-rewards.com/dashboard/news,18.0,2336.500538461539,280.0,0.0,0.0,20.0,20.0,0.0
30,64610684,2018-12-08 03:26:05.625,IN,False,,,,12.50943103448276,,,0.0,1.0,59.0,12.09245,0C14C27256CEDDAB51383ACF9E153B81,,12.09245,,https://air-rewards.com/dashboard/spinner/data,10.0,,0.0,0.0,0.0,,,1.0
31,64654358,2018-12-08 11:43:47.144,IN,False,,,,7.5092741935483875,,,0.0,1.0,63.0,7.759583333333333,4703CD81F87239DDD626A5C1EEFA4598,,7.759583333333333,,https://air-rewards.com/dashboard/wallet,10.0,,0.0,0.0,0.0,,,0.0
32,64656745,2018-12-08 12:22:39.606,IN,False,,20.0,20.0,891.2008909090911,,,129.0,3.0,56.0,816.9341499999998,3B2CF00674A369A7D58EAF62BD33EC88,,816.9341499999998,,https://www.air-rewards.com/login,9.0,380.5158593750001,2580.0,0.0,0.0,20.0,20.0,0.0
33,64669087,2018-12-08 15:37:10.942,IN,False,,,,3.942416666666667,,,0.0,1.0,13.0,0.7884833333333333,3D7EB597DEB21C21C656CDABE5C0E053,,0.7884833333333333,,https://www.air-rewards.com/dashboard/wallet,8.0,,0.0,0.0,0.0,,,1.0
34,64687691,2018-12-09 00:29:16.268,IN,False,,20.0,20.0,220.69894444444446,,,1.0,1.0,19.0,66.20968333333333,0FDE043C29BFD7C245725DB57D34329B,,66.20968333333333,,https://air-rewards.com/dashboard/artv,7.0,,20.0,0.0,0.0,20.0,20.0,1.0
35,64693082,2018-12-09 00:55:16.277,IN,False,,20.0,20.0,34.8506,,,2.0,1.0,6.0,2.9042166666666662,A2173BF7D3088AA83CC6717869E95A17,,2.9042166666666662,,https://www.air-rewards.com/register,5.0,30.006,40.0,0.0,0.0,20.0,20.0,1.0
36,64716997,2018-12-09 02:18:57.709,IN,False,,,,14.6369375,,,0.0,1.0,33.0,7.806366666666666,9E9ECACCA54B76394B82FF048EC9E7E4,,7.806366666666666,,https://air-rewards.com/dashboard/support,10.0,,0.0,0.0,0.0,,,1.0
37,64736602,2018-12-09 02:34:56.628,IN,False,,,,19.624305084745764,,,0.0,1.0,60.0,19.29723333333333,1CA20C44F5587FE0552A0B50BF6FDDB3,,19.29723333333333,,https://air-rewards.com/dashboard/wallet,8.0,,0.0,0.0,0.0,,,1.0
38,64727660,2018-12-09 02:37:06.234,IN,False,,,,,,,0.0,1.0,1.0,0.0,7EC62BDE709BDFEB3010EDDAFB49A147,,0.0,,https://www.air-rewards.com/login,1.0,,0.0,0.0,0.0,,,1.0
39,64741451,2018-12-09 02:47:47.830,IN,False,,,,16.9116,,,0.0,1.0,6.0,1.4093000000000002,6786578761AD3BEF5DF21CB691C550C7,,1.4093000000000002,,https://air-rewards.com/dashboard/artv,3.0,,0.0,0.0,0.0,,,1.0
40,64743290,2018-12-09 02:53:06.920,IN,False,1.0,20.0,20.0,28.672085106382983,1.0,1.0,14.0,1.0,48.0,22.4598,8F076CFACB953CC8FF6E595816C347C9,1.0,22.4598,,https://air-rewards.com/dashboard/wallet,7.0,65.46069230769231,280.0,1.0,1.0,20.0,20.0,1.0
41,64724239,2018-12-09 03:51:58.887,IN,False,,,,37.669833333333344,,,0.0,1.0,13.0,7.533966666666667,8A8E9753E22E8933A9962A403B6CBD58,,7.533966666666667,,https://air-rewards.com/dashboard/artv/upload,5.0,,0.0,0.0,0.0,,,1.0
42,64759726,2018-12-09 04:28:46.864,DO,False,,,,6.8601481481481486,,,0.0,1.0,28.0,3.0870666666666664,431F1C7DECC83B0CB69FF082E3F1904A,,3.0870666666666664,,https://air-rewards.com/dashboard/wallet,9.0,,0.0,0.0,0.0,,,1.0
43,64766359,2018-12-09 05:41:21.297,IN,False,,,,489.86369230769236,,,0.0,4.0,27.0,212.27426666666668,991057CE83450285A7A61D2344DB99CE,,212.27426666666668,,https://air-rewards.com/dashboard/support,13.0,,0.0,0.0,0.0,,,0.0
44,64767849,2018-12-09 05:55:30.001,IN,False,,20.0,20.0,51.88778048780488,,,5.0,1.0,42.0,35.45665,2F626B38AACA9058E1DCA8310ED1EE28,,35.45665,,https://air-rewards.com/dashboard/artv/watch,10.0,467.05875,100.0,0.0,0.0,20.0,20.0,1.0
45,64821889,2018-12-10 02:15:52.636,IN,False,,,,581.1781866666666,,,0.0,2.0,76.0,726.4727333333334,04FEEBCC9627DE9748A2D3997678DB02,,726.4727333333334,,https://air-rewards.com/login,19.0,,0.0,0.0,0.0,,,1.0
46,64849077,2018-12-10 09:52:39.366,IN,False,,,,17.398266666666668,,,0.0,1.0,46.0,13.0487,9326793BE25BA9B8F5C88A56076380D4,,13.0487,,https://air-rewards.com/dashboard/wallet,11.0,,0.0,0.0,0.0,,,1.0
47,64860680,2018-12-10 13:47:20.617,IN,False,,,,1528.6872820512824,,,0.0,4.0,40.0,993.6467333333333,16FD9490184A683F8C744C6F5173F01F,,993.6467333333333,,https://air-rewards.com/login,13.0,,0.0,0.0,0.0,,,0.0
48,64865091,2018-12-10 15:27:14.649,IN,False,1.0,20.0,10.0,364.65512307692313,1.0,1.0,78.0,10.0,196.0,1185.12915,DD39181C11CACA1724D4CD45B21EB4DC,1.0,1185.12915,,https://www.air-rewards.com/dashboard/artv/watch,22.0,381.73993506493514,1510.0,1.0,1.0,19.358974358974358,10.0,0.0
49,64933585,2018-12-12 00:42:30.401,NP,False,,,,11.36175,,,0.0,1.0,5.0,0.7574500000000001,085380A76E18651A4F971731E02CC955,,0.7574500000000001,,https://air-rewards.com/dashboard/wallet,4.0,,0.0,0.0,0.0,,,1.0
50,64953844,2018-12-12 09:20:12.124,IN,False,,,,37.828307692307696,,,0.0,1.0,27.0,16.392266666666664,CC072561C33BDF113ABDD93E6ADCF487,,16.392266666666664,,https://air-rewards.com/dashboard/artv/watch,12.0,,0.0,0.0,0.0,,,1.0
51,65043836,2018-12-14 10:54:39.056,IN,False,,10.0,10.0,511.0416863905325,,,328.0,6.0,170.0,1439.434083333333,6D38B2C6B24E65B40C2AEAE3058DBC72,,1439.434083333333,,https://www.air-rewards.com/dashboard/artv/watch,6.0,264.02591131498474,3280.0,0.0,0.0,10.0,10.0,0.0
52,65084379,2018-12-15 05:16:30.117,IN,False,,,,30.006689655172416,,,0.0,1.0,30.0,14.503233333333332,5102E9FD1F1F81333B9844D07E174BB8,,14.503233333333332,,https://air-rewards.com/dashboard/spinner,11.0,,0.0,0.0,0.0,,,1.0
53,65151913,2018-12-16 08:56:55.677,IN,False,,10.0,10.0,250.08358333333337,,,5.0,3.0,61.0,250.0835833333333,D1F22C506CBF177D1CB882E31C00C822,,250.0835833333333,,https://air-rewards.com/dashboard/artv/watch,14.0,2438.7755,50.0,0.0,0.0,10.0,10.0,1.0
54,65209312,2018-12-17 09:26:17.330,VN,False,,10.0,10.0,21.67279310344828,,,8.0,1.0,30.0,10.475183333333332,9BAFE36D296B2AA2FECCD4F87CDE2E1C,,10.475183333333332,,https://air-rewards.com/dashboard/intro,9.0,45.44842857142858,80.0,0.0,0.0,10.0,10.0,1.0
55,65224449,2018-12-17 14:53:12.003,IN,False,10.0,10.0,10.0,69.18508,10.0,10.0,307.0,3.0,176.0,201.78981666666667,2F01DDA82CC56A32ABE6D1FF62D8D073,10.0,201.78981666666667,,https://www.air-rewards.com/dashboard/user/profile/update,9.0,37.94837254901961,3070.0,1.0,10.0,10.0,10.0,0.0
56,65256610,2018-12-18 05:41:20.369,IN,False,,,,896.2115444444444,,,0.0,7.0,91.0,1344.3173166666668,F29F1CAC668CF5564B9A0D2A1DE02C12,,1344.3173166666668,,https://www.air-rewards.com/dashboard/artv/watch,16.0,,0.0,0.0,0.0,,,0.0
57,65419728,2018-12-21 07:00:03.475,IN,False,,10.0,10.0,248.98094219653183,,,244.0,19.0,347.0,1435.7901,BA60C77BE642BEB77A0D1883AAD7FCD0,,1435.7901,,https://air-rewards.com/dashboard/artv/watch,25.0,353.9985020576132,2440.0,0.0,0.0,10.0,10.0,0.0
58,65534683,2018-12-24 09:44:18.543,IN,False,,,,25.072965517241386,,,0.0,1.0,30.0,12.1186,28E646EE93C1C68AC3F8B7D5A3A17230,,12.1186,,https://air-rewards.com/dashboard/wallet,8.0,,0.0,0.0,0.0,,,1.0
59,65542702,2018-12-24 11:24:43.463,IN,False,,,,12.203558823529413,,,0.0,1.0,35.0,6.91535,3FA00F8FFC700F9D024270D8EA686B2F,,6.91535,,https://air-rewards.com/dashboard/artv/upload/earnings,11.0,,0.0,0.0,0.0,,,1.0
60,65599975,2018-12-25 10:10:38.597,IN,False,,10.0,10.0,1154.1403750000004,,,10.0,3.0,49.0,923.3123,AE3539315A6A0FB7242E5CD555792659,,923.3123,,https://air-rewards.com/login,10.0,6126.868555555556,100.0,0.0,0.0,10.0,10.0,1.0
61,65616424,2018-12-25 10:36:32.895,IN,False,,,,4.6425,,,0.0,1.0,5.0,0.3095,D11A5B61B88DC12E8F06DE3DCE22843B,,0.3095,,https://air-rewards.com/dashboard/artv,3.0,,0.0,0.0,0.0,,,1.0
62,65636953,2018-12-25 18:24:52.142,IN,False,,,,,,,0.0,1.0,1.0,0.0,84DA7F5552B830BD2971B2E87BBED61B,,0.0,,https://air-rewards.com/login,1.0,,0.0,0.0,0.0,,,1.0
63,65646114,2018-12-25 19:52:17.140,IN,False,,,,768.398325,,,0.0,2.0,41.0,512.26555,F7913FA9DCFD6ED92AFFA59C8EA985EC,,512.26555,,https://air-rewards.com/dashboard/artv,9.0,,0.0,0.0,0.0,,,1.0
64,64351527,2018-12-04 01:56:15.850,IN,False,,,,920.0172765957446,,,0.0,2.0,48.0,720.6802,9EEF2D3318F390598FFCCD3A1D1B52EF,,720.6802,,https://air-rewards.com/dashboard/artv,13.0,,0.0,0.0,0.0,,,1.0
65,64376413,2018-12-05 01:42:35.969,IN,False,,,,5.545142857142858,,,0.0,1.0,36.0,3.234666666666667,7BE64B30C3B0B9F503D528836E783222,,3.234666666666667,,https://air-rewards.com/dashboard/bonustask,9.0,,0.0,0.0,0.0,,,1.0
66,64427044,2018-12-07 02:03:57.363,IN,False,,20.0,20.0,46.87463333333334,,,1.0,1.0,31.0,23.43731666666667,5F290ABF178ED56B553D839E4C6DAD78,,23.43731666666667,,https://air-rewards.com/dashboard/artv/upload,10.0,,20.0,0.0,0.0,20.0,20.0,1.0
